regime,base_spread,inventory_skew,uncertainty_sensitivity,strategy,num_steps,num_trials,risk_penalty,price_process,random_walk_step_size,brownian_drift,brownian_volatility,dt,observation_noise_std,volatility_window,avg_pnl,std_pnl,avg_risk_adjusted_score,avg_total_fills,avg_abs_final_inventory,avg_max_abs_inventory,avg_abs_inventory,avg_abs_observation_error,avg_effective_spread,avg_estimated_uncertainty
calm_clean,0.1,0.001,3.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,9.644449386075985,1.586963807880578,2.7679293860759855,135.91,3.61,9.31,3.43826,0.007979718924871345,0.1513421804904379,0.017114060163479307
calm_clean,0.15,0.001,1.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,9.303991681185293,1.657205063204259,2.6768716811852933,115.12,3.6,8.54,3.31356,0.007994959037617011,0.16708769650326383,0.0170876965032638
calm_clean,0.15,0.001,0.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,9.675670372977985,1.5347406235208594,2.6699903729779852,137.0,4.22,9.39,3.50284,0.007946721144585483,0.15000000000000283,0.017078965106858895
calm_clean,0.2,0.002,1.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,7.426417566195216,1.3946798585557905,2.5800575661952165,70.35,2.61,6.48,2.4231800000000003,0.007968611561730402,0.21705416080207077,0.017054160802070784
calm_clean,0.2,0.004,3.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,6.05594894599476,1.1625335117336637,2.4796089459947606,50.47,1.81,4.87,1.78817,0.007962870597843617,0.2509855474332365,0.016995182477745487
calm_clean,0.1,0.001,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.683016010026176,1.680961965770674,2.3708960100261756,96.05,3.89,8.1,3.15606,0.00795773708229123,0.18553537421998623,0.01710707484399725
calm_clean,0.15,0.002,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,6.956870340142723,1.3711242013898242,2.254970340142723,59.45,2.31,6.09,2.35095,0.008002240271229139,0.2358776196884502,0.017175523937690028
calm_clean,0.2,0.001,0.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.192606676541942,1.6490679740552379,2.0380866765419423,82.98,3.82,7.75,3.07726,0.007992331810700798,0.19999999999999718,0.01710160095722142
calm_clean,0.15,0.001,3.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.14362004233136,1.4557451525971112,1.9118000423313595,82.65,3.87,7.69,3.11591,0.007966462609370418,0.20123039136209075,0.017076797120696915
calm_clean,0.15,0.001,2.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.627109022840068,1.67385090799939,1.7343090228400677,99.02,4.1,8.78,3.4463999999999997,0.007972648389664005,0.18412563406612587,0.01706281703306293
calm_clean,0.05,0.001,0.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,8.457312153452829,1.533432963061674,1.6751121534528288,369.61,3.29,10.54,3.3911000000000002,0.007965839108921454,0.049999999999999295,0.017097350709188767
calm_clean,0.2,0.002,2.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,6.604566682620236,1.4625015015954286,1.622926682620236,59.06,2.68,6.4,2.49082,0.00799386207291177,0.23434762092761915,0.017173810463809575
calm_clean,0.2,0.004,5.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,4.927097942627157,1.1305053989722034,1.1883579426271564,34.61,2.07,4.67,1.8693700000000002,0.0079849738926342,0.28545794836383676,0.01709158967276736
calm_clean,0.2,0.002,3.0,inventory_and_uncertainty_aware,1000,100,2.0,brownian,0.01,0.0,0.01,1.0,0.01,50,6.500068989741153,1.3458739223390432,0.874408989741153,51.27,3.43,6.64,2.81283,0.007999894299131215,0.25137279710250054,0.017124265700833516
