base_spread,inventory_skew,uncertainty_sensitivity,strategy,num_steps,num_trials,risk_penalty,price_process,random_walk_step_size,brownian_drift,brownian_volatility,dt,observation_noise_std,volatility_window,avg_pnl,std_pnl,avg_risk_adjusted_score,avg_total_fills,avg_abs_final_inventory,avg_max_abs_inventory,avg_abs_inventory,avg_abs_observation_error,avg_effective_spread,avg_estimated_uncertainty
0.15,0.001,3.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,5.39529587433265,2.5098746917599124,0.045305874332649536,41.18,3.64,6.31,2.674995,0.023917628538589017,0.2889029590378111,0.04630098634593705
0.1,0.002,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,3.925721185743418,1.8986784626832864,-0.2856088142565819,27.33,2.46,4.685,2.105665,0.02390960912298154,0.3318280942332103,0.04636561884664206
0.15,0.004,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,2.714624327745767,1.3268244176124662,-0.31351567225423294,16.925,1.705,3.43,1.51407,0.02398022965199891,0.3819085873770419,0.04638171747540838
0.2,0.002,3.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,3.720554593971109,1.7117638754865352,-0.4552354060288911,24.725,2.615,4.76,2.087895,0.023961305403424928,0.339181487788723,0.04639382926290767
0.2,0.004,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,1.9438597747631723,1.326758917604151,-0.6337602252368277,10.0,1.86,2.915,1.28881,0.02399079562952712,0.4320822914349208,0.04641645828698415
0.1,0.001,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,3.981243609586643,1.9033146418893128,-0.637936390413357,27.435,3.075,5.025,2.30959,0.02391464163342307,0.33165887337215916,0.046331774674431836
0.2,0.001,3.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,3.8176170900226607,2.037089707571737,-0.6749329099773395,24.78,3.22,5.16,2.246275,0.02393536069074909,0.33891297266241033,0.04630432422080344
0.05,0.001,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,5.1192516416484315,2.220308509915815,-0.7030983583515689,45.56,3.81,6.74,2.911175,0.023929161085584568,0.2820294350872409,0.04640588701744819
0.2,0.001,2.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,4.618831314045321,2.4205941294424242,-0.7109186859546786,38.36,3.31,6.135,2.6648750000000003,0.023936909172926266,0.29298149548519953,0.04649074774259975
0.15,0.002,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,2.8159166652394565,1.5173910579748726,-0.7546733347605435,16.325,2.445,4.025,1.785295,0.023967112376880664,0.38119926394657727,0.04623985278931546
0.2,0.002,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,1.972674053548818,1.4632030262872293,-1.035225946451182,10.06,2.01,3.13,1.5039500000000001,0.02392161685940137,0.4318136990099724,0.04636273980199448
0.15,0.0,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,3.010101175127355,1.9489265718177011,-1.180988824872645,16.14,2.91,4.35,2.095545,0.023981133194150534,0.38191542031785436,0.04638308406357087
0.2,0.0,2.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,5.211253669487071,2.5874583308564563,-1.192336330512929,39.37,4.56,7.085,3.201795,0.02393499186596245,0.29268666951293537,0.0463433347564677
0.15,0.001,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,2.7309591383628797,1.8368076887668838,-1.2819108616371202,16.575,2.765,4.235,2.0064349999999997,0.023965573270045126,0.3814099965529264,0.04628199931058528
0.2,0.001,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,1.869340898362234,1.5507383891694337,-1.331989101637766,10.045,2.375,3.385,1.600665,0.023874677029602272,0.4319270658367965,0.0463854131673593
0.2,0.0,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,2.039840987748013,1.743227637919597,-1.4259490122519873,10.38,2.67,3.585,1.732895,0.023974974855007596,0.4321675594162007,0.046433511883240144
0.2,0.0,1.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,7.200836465240576,3.2927367113286308,-1.4879535347594244,61.295,6.315,9.33,4.3443950000000005,0.02398407182512462,0.24641181016900546,0.046411810169005474
0.05,0.002,0.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,4.580950078752662,2.515038723470587,-1.5268699212473376,376.915,3.295,9.96,3.05391,0.023972551625038408,0.049999999999999295,0.04633152834017925
0.05,0.0,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,5.335511716790956,2.8378813406897367,-1.582178283209044,44.235,5.075,7.585,3.458845,0.023914737207117457,0.28164803779534575,0.046329607559069154
0.15,0.0,3.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,5.1693840958126955,2.7120012549205423,-1.6089859041873043,40.44,5.22,7.52,3.389185,0.023900969503751937,0.28898730758008445,0.046329102526694824
0.2,0.0,3.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,3.6856041226633782,2.455656736847174,-1.6361158773366216,24.37,4.03,5.65,2.66086,0.02398430221922541,0.33925661489722647,0.04641887163240882
0.1,0.0,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,3.6714951598332046,2.327236213235948,-1.8166848401667957,27.335,4.095,5.92,2.74409,0.023960240515020534,0.3322645728818135,0.046452914576362705
0.15,0.0,2.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,6.496645874700059,3.5275786285043624,-2.029404125299941,63.94,5.93,9.305,4.263025,0.023899331612753684,0.24270104818588312,0.04635052409294155
0.1,0.0,3.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,6.768589520295106,4.242866785573315,-2.1966804797048938,66.745,6.615,9.84,4.482635,0.02390691172412047,0.23897545976819315,0.046325153256064386
0.2,0.0,0.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.348225576913398,4.221139846454856,-2.236744423086601,97.51,7.87,12.18,5.292485,0.023932809712528254,0.19999999999999718,0.04640145451184884
0.1,0.0,2.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.339953227872877,4.921952377143135,-2.5432067721271223,106.24,8.34,12.07,5.44158,0.02392508608387023,0.19265673579596057,0.04632836789798029
0.05,0.0,3.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.314409301074342,4.713424865717931,-2.7468806989256573,109.475,8.515,12.57,5.530645,0.024005121189865898,0.18928917436458895,0.04642972478819632
0.15,0.0,1.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,7.777236437337242,4.733820726465136,-3.0652535626627584,100.325,8.335,12.095,5.421245,0.02391382401539699,0.19615896051927387,0.04615896051927385
0.1,0.0,1.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,10.417642442374303,6.704054851948753,-3.0958675576256964,164.835,9.725,15.215,6.756754999999999,0.02396144527784424,0.14644925900363867,0.046449259003638686
0.05,0.001,0.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,5.215971678844504,3.591951228368685,-3.2391383211554956,379.345,5.005,12.37,4.227555,0.023868658381150546,0.049999999999999295,0.0462230124795055
0.15,0.0,0.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,9.280555521206706,5.93891800287573,-3.7043144787932945,159.215,10.085,14.85,6.492435,0.023966220841286884,0.15000000000000283,0.04631203827175431
0.05,0.0,2.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.628387939724,5.908230930181215,-5.099612060276,172.985,10.835,15.65,6.864,0.02400880703149878,0.1428847794193939,0.046442389709696934
0.1,0.0,0.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.94496532765359,6.496035083434353,-7.62975467234641,254.885,11.915,18.74,8.28736,0.02395428907648129,0.09999999999999859,0.046260813253218507
0.05,0.0,1.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.51876294782237,7.573373579789242,-7.69418705217763,263.255,11.825,18.815,8.106475,0.023927439306441103,0.09637314536876779,0.04637314536876779
0.05,0.0,0.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,5.794003271356769,5.965441922687873,-11.62348672864323,380.33,13.3,20.63,8.708745,0.0238984787493115,0.049999999999999295,0.04628040634537107
